,0
0,0.6117647
1,0.62352943
2,0.61960787
3,0.60784316
4,0.61960787
5,0.6117647
6,0.62352943
7,0.61960787
8,0.6156863
9,0.61960787
10,0.61960787
11,0.62352943
12,0.627451
13,0.627451
14,0.627451
15,0.61960787
16,0.6392157
17,0.6313726
18,0.63529414
19,0.627451
20,0.6431373
21,0.627451
22,0.64705884
23,0.6392157
24,0.6313726
25,0.6392157
26,0.6313726
27,0.6431373
28,0.64705884
29,0.63529414
30,0.6313726
31,0.64705884
32,0.64705884
33,0.6431373
34,0.6509804
35,0.64705884
36,0.6431373
37,0.6509804
38,0.654902
39,0.64705884
40,0.64705884
41,0.6431373
42,0.6666667
43,0.6509804
44,0.654902
45,0.654902
46,0.6666667
47,0.65882355
48,0.6627451
49,0.6509804
50,0.6627451
51,0.654902
52,0.6666667
53,0.6627451
54,0.6627451
55,0.67058825
56,0.6627451
57,0.67058825
58,0.6627451
59,0.67058825
60,0.6666667
61,0.6627451
62,0.6784314
63,0.6784314
64,0.6745098
65,0.67058825
66,0.6784314
67,0.6901961
68,0.68235296
69,0.6901961
70,0.7058824
71,0.7019608
72,0.69803923
73,0.69803923
74,0.70980394
75,0.70980394
76,0.70980394
77,0.69411767
78,0.7058824
79,0.69803923
80,0.7019608
81,0.7058824
82,0.7058824
83,0.7058824
84,0.69803923
85,0.72156864
86,0.70980394
87,0.7137255
88,0.7176471
89,0.7137255
90,0.7176471
91,0.70980394
92,0.7137255
93,0.7176471
94,0.7137255
95,0.7254902
96,0.72156864
97,0.70980394
98,0.70980394
99,0.7176471
100,0.72156864
101,0.7176471
102,0.72156864
103,0.7176471
104,0.7294118
105,0.7294118
106,0.73333335
107,0.72156864
108,0.7176471
109,0.7254902
110,0.7254902
111,0.7254902
112,0.7137255
113,0.7176471
114,0.7294118
115,0.7137255
116,0.72156864
117,0.73333335
118,0.7254902
119,0.7372549
120,0.7254902
121,0.7254902
122,0.7294118
123,0.72156864
124,0.72156864
125,0.7137255
126,0.7294118
127,0.7294118
128,0.7254902
129,0.70980394
130,0.7294118
131,0.7137255
132,0.7137255
133,0.7254902
134,0.7176471
135,0.7058824
136,0.70980394
137,0.7137255
138,0.70980394
139,0.7254902
140,0.7137255
141,0.7294118
142,0.7137255
143,0.70980394
144,0.7176471
145,0.7137255
146,0.70980394
147,0.70980394
148,0.70980394
149,0.7019608
150,0.70980394
151,0.69411767
152,0.7058824
153,0.70980394
154,0.69803923
155,0.69803923
156,0.7058824
157,0.7019608
158,0.7058824
159,0.69411767
160,0.7019608
161,0.7058824
162,0.69803923
163,0.6901961
164,0.69803923
165,0.68235296
166,0.69411767
167,0.69803923
168,0.6784314
169,0.69411767
170,0.69411767
171,0.6901961
172,0.6745098
173,0.6745098
174,0.6745098
175,0.6901961
176,0.68235296
177,0.69411767
178,0.6784314
179,0.6784314
180,0.6627451
181,0.6745098
182,0.6627451
183,0.67058825
184,0.654902
185,0.654902
186,0.6509804
187,0.654902
188,0.65882355
189,0.65882355
190,0.65882355
191,0.65882355
192,0.6627451
193,0.6509804
194,0.6627451
195,0.64705884
196,0.6509804
197,0.6509804
198,0.6509804
199,0.6431373
200,0.6509804
201,0.6627451
202,0.6509804
203,0.65882355
204,0.6509804
205,0.64705884
206,0.65882355
207,0.654902
208,0.65882355
209,0.64705884
210,0.6509804
211,0.6509804
212,0.6431373
213,0.6392157
214,0.6431373
215,0.62352943
216,0.6431373
217,0.6431373
218,0.61960787
219,0.63529414
220,0.63529414
221,0.63529414
222,0.6313726
223,0.62352943
224,0.6313726
225,0.6313726
226,0.62352943
227,0.62352943
228,0.627451
229,0.60784316
230,0.60784316
231,0.6039216
232,0.60784316
233,0.6
234,0.6117647
235,0.60784316
236,0.61960787
237,0.6117647
238,0.60784316
239,0.60784316
240,0.6117647
241,0.6039216
242,0.5921569
243,0.6117647
244,0.60784316
245,0.59607846
246,0.60784316
247,0.60784316
248,0.60784316
249,0.6
250,0.6117647
251,0.6039216
252,0.6
253,0.5921569
254,0.59607846
255,0.59607846
256,0.627451
257,0.6039216
258,0.6156863
259,0.61960787
260,0.6156863
261,0.62352943
262,0.61960787
263,0.61960787
264,0.61960787
265,0.627451
266,0.60784316
267,0.6117647
268,0.62352943
269,0.61960787
270,0.627451
