,0
0,-0.38663286
1,0.07883395
2,-0.40200585
3,0.39282548
4,-0.30162588
5,0.1019349
6,-0.38767192
7,-0.46441877
8,0.74511397
9,-0.14443637
10,0.28987986
11,-0.6303764
12,0.058295656
13,0.52997416
14,-0.3915195
15,-0.1708712
16,0.7473715
17,-0.24629398
18,-0.13914807
19,-0.9362671
20,0.22637677
21,0.3551636
22,-0.1891818
23,0.2676475
24,0.034755137
25,0.1570128
26,0.65221775
27,0.4446156
28,-0.061120644
29,0.13156986
30,0.39157656
31,0.7391039
32,-0.24753867
33,1.0778899
34,0.08678213
35,0.18661503
36,0.38357562
37,-0.082528226
38,-0.20988509
39,0.09520628
40,-0.1655166
41,-0.65142775
42,0.6775594
43,0.09469267
44,0.03063748
45,0.41920188
46,0.7431364
47,0.34700856
48,0.32883242
49,-0.2581913
50,-0.7064672
51,0.7486749
52,-0.029583285
53,0.30990905
54,-0.35879645
55,0.63577515
56,-0.5948851
57,0.10596548
58,-0.39564255
59,-0.0016099364
60,-0.58584344
61,0.30675
62,0.7385265
63,0.5560855
64,0.6336858
65,-0.18707268
66,-0.22103713
67,-0.063744135
68,0.037433743
69,0.69563514
70,-0.984448
71,0.35315472
72,-0.26804784
73,0.7532563
74,0.38290423
75,-0.07067381
76,0.11317619
77,-0.6087062
78,-0.66095865
79,0.66691214
80,-0.18944147
81,-0.14763288
82,-0.37091467
83,0.48693764
84,0.7216873
85,-0.41342434
86,0.70977145
87,0.010303541
88,0.1826135
89,-0.40169996
90,0.81626177
91,-0.44382223
92,0.13136475
93,-0.3604721
94,-0.16991071
95,0.57470113
96,-0.008225029
97,0.13763398
98,-0.583452
99,-0.12773053
100,0.6275439
101,-0.72943425
102,0.29205352
103,-0.35790014
104,-0.5685725
105,-1.2393819
106,0.09746147
107,0.6021227
108,0.6542592
109,0.09045797
110,-0.23671669
111,0.027906073
112,0.085860565
113,0.36805373
114,-0.983481
115,0.15718295
116,0.6114135
117,-0.3401931
118,-0.4772163
119,-0.4885386
120,-0.0053450232
121,0.1603377
122,0.6177198
123,-0.42718223
124,-0.47412136
125,0.7018295
126,0.67573875
127,-0.99404985
128,0.68932396
129,0.2821476
130,0.2709212
131,-0.33091417
132,0.189355
133,0.17995155
134,0.3355925
135,0.22103432
136,-0.6865672
137,-0.035163336
138,-0.06676651
139,-0.17477399
140,-0.4304158
141,0.40538347
142,-0.7816698
143,0.39143008
144,0.08040552
145,-0.4890489
146,-0.4621506
147,0.69129026
148,-0.628498
149,-0.13157848
150,0.26819414
151,0.49604535
152,-0.16593905
153,0.8102511
154,-0.8461091
155,0.49306288
156,0.11681146
157,-0.40209797
158,0.3706293
159,0.2172871
160,0.081235185
161,-0.31635505
162,-0.25144234
163,0.9999656
164,-0.027140424
165,-0.6850618
166,0.54524285
167,0.73006004
168,0.61924154
169,-0.30386648
170,0.68647534
171,-0.3588645
172,-0.0024162612
173,-0.21246885
174,-0.6856919
175,0.35144597
176,-0.58820873
177,-0.58183616
178,-0.5224989
179,0.4468718
180,0.9955806
181,-0.41792515
182,-0.19698913
183,0.23976849
184,0.74031436
185,-0.12440643
186,-0.490252
187,-0.037256986
188,-0.9308948
189,0.83579785
190,0.04698484
191,0.23834908
192,-0.47700828
193,-0.010080056
194,0.14932884
195,0.16711271
196,0.046394832
197,-0.02781233
198,0.04280098
199,-0.5088615
200,-0.5862537
201,0.16378558
202,0.020321826
203,0.36871096
204,0.3084677
205,-0.03133384
206,-0.080599666
207,0.47539502
208,-0.7211325
209,0.11053355
210,-0.050178178
211,-0.31997347
212,0.28250965
213,0.43721244
214,0.6215804
215,-0.46921653
216,-0.5772159
217,0.46005434
218,0.04156867
219,-0.8921104
220,0.2924022
221,0.5148536
222,0.11324825
223,0.19388929
224,0.21486779
225,0.101886496
226,0.12631905
227,0.73595256
228,0.2690683
229,0.74672085
230,-0.016789453
231,0.16902769
232,-0.29825798
233,-0.33661017
234,0.48458713
235,0.38014823
236,-0.22879721
237,0.17835844
238,0.3994236
239,-0.4784904
240,0.33696645
241,0.0782297
242,0.79990554
243,0.51199067
244,0.111750714
245,0.16792014
246,-0.10952363
247,-0.12129226
248,0.1800226
249,-0.9765915
250,0.401798
251,0.6676204
252,0.26907542
253,0.3534074
254,0.4033925
255,-1.0907557
256,-0.15348816
257,0.47206903
258,0.4062483
259,-0.27885586
260,-0.121710956
261,-0.22221084
262,-0.40207687
263,0.22412053
264,0.25865456
265,0.49931824
266,-0.4687277
267,-0.09394996
268,-0.6744867
269,0.49786958
270,-0.26087102
271,0.2684881
272,0.08839122
273,0.9935354
274,-0.2595747
275,0.4571026
276,0.22366095
277,-0.13090208
278,0.93969434
279,-0.61952364
280,-0.344394
281,0.15178335
282,-0.25504282
283,-0.6273945
284,0.55426764
285,0.37192416
286,0.0032629427
287,0.12180641
288,-0.05544832
289,-0.50220704
290,0.24643984
291,-0.109151095
292,0.14509074
293,-0.37102255
294,0.4030424
295,-0.22542705
296,0.20140475
297,-0.11247904
298,0.39212894
299,-0.8642382
300,-0.12883969
301,-0.11213826
302,-0.09407645
303,-0.29525775
304,0.32021096
305,-0.7191906
306,-0.4927132
307,-0.09265737
308,0.36086494
309,0.50418377
310,-0.61126024
311,0.5642847
312,0.040302627
313,-0.37075543
314,0.12943108
315,-0.059217162
316,0.80183953
317,0.064533226
318,-0.021243433
319,0.48282614
320,0.5609084
321,-0.26859507
322,1.1017873
323,0.15960337
324,-0.48406026
325,-0.35485324
326,-0.7320153
327,0.21392232
328,-0.42163754
329,-0.24323033
330,-0.7419282
331,-0.48180076
332,0.45826516
333,-0.27093527
334,1.0596164
335,-0.5800872
336,0.3276861
337,-0.34161365
338,-0.031927247
339,1.1338352
340,-0.7838888
341,0.08505838
342,0.1796273
343,0.21414007
344,-0.07097201
345,0.7758084
346,-0.18793896
347,-0.13155967
348,-0.20928626
349,0.14937606
350,0.2446632
351,0.23834343
352,-0.5225647
353,-0.52538776
354,0.36847386
355,0.19139154
356,-0.10336807
357,0.7659046
358,0.3500648
359,0.04520334
360,0.12506421
361,-0.2892512
362,-0.13547495
363,0.14427067
364,0.3306757
365,-0.7829468
366,-0.8642943
367,0.52473253
368,0.056795374
369,-0.46870497
370,0.09869251
371,0.81614065
372,-0.6613569
373,0.01516288
374,-0.22132246
375,0.16474544
376,0.57160133
377,1.2053918
378,0.15125492
379,-0.89768445
380,0.3093782
381,-0.23755498
382,-0.26704723
383,-0.116402484
384,0.8027355
385,0.7353876
386,0.07769045
387,-0.4111651
388,0.28370738
389,-0.16559571
390,-0.64606017
391,-0.38011816
392,0.18996245
393,-0.19597833
394,0.05197223
395,0.57247764
396,0.15899093
397,0.16854909
398,0.7120068
399,0.43851978
400,-1.2086155
401,0.57187766
402,-0.008378387
403,-0.28150126
404,-0.33872277
405,-0.5416341
406,0.14422506
407,-0.22696753
408,-0.39283878
409,0.31543407
410,-0.22116433
411,-0.49735513
412,-0.31469876
413,-0.6693449
414,0.54496735
415,0.03955513
416,0.17026904
417,0.41209635
418,-0.33212146
419,-0.19030127
420,0.42347473
421,0.19681534
422,-0.12904984
423,0.23431991
424,-0.030081594
425,-0.19224876
426,-0.34715915
427,0.37519982
428,-0.31817093
429,0.095271885
430,-0.18231532
431,-0.28261763
432,-0.11376907
433,0.076404296
434,0.24945392
435,0.59802204
436,0.17690995
437,0.4182445
438,0.3971285
439,-0.5534027
440,-0.9274733
441,0.16555575
442,-0.5286514
443,-0.044045378
444,-0.518416
445,0.21124496
446,-0.19677226
447,0.40438977
448,-0.31784728
449,-0.09646995
450,0.16792844
451,0.1395619
452,0.17954601
453,-0.06931261
454,-0.08596069
455,0.031095592
456,0.9026044
457,-1.1445491
458,0.0063125067
459,0.1444798
460,0.13616261
461,-0.5079771
462,-0.19369926
463,-0.49286833
464,-0.15222877
465,0.7054094
466,0.74913526
467,0.2607549
468,-0.040016755
469,0.72307706
470,1.21655
471,-0.68117464
472,-0.5373212
473,0.859223
474,-0.38848203
475,0.65860206
476,-0.5692601
477,0.60579103
478,-0.12451153
479,-0.4087766
480,0.47665882
481,-0.10101261
482,0.34495255
483,0.76445544
484,-0.10531521
485,-0.33109158
486,0.2538607
487,-0.12504596
488,0.33122915
489,0.4545113
490,0.13345583
491,0.3440332
492,-0.3562254
493,0.79291767
494,1.0037578
495,-0.2658464
496,-0.010655028
497,-0.55864644
